,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mcd,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,McDonald's Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,248.80,,+4.62,+1.89%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"185,915M",25.68,0.58,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,mcd,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 3, 2021",238.39,239.65,237.51,238.82,"1,339,289"
,"Sep 7, 2021",238.61,238.61,235.95,236.19,"1,820,118"
,"Sep 8, 2021",236.80,239.46,236.00,238.62,"2,718,376"
,"Sep 9, 2021",238.42,241.43,237.77,238.61,"2,992,467"
,"Sep 10, 2021",240.32,241.32,239.04,239.18,"2,035,199"
,"Sep 13, 2021",240.83,241.80,239.84,241.21,"2,294,796"
,"Sep 14, 2021",241.73,242.25,239.50,241.13,"2,013,793"
,"Sep 15, 2021",240.47,241.27,238.18,240.98,"2,507,196"
,"Sep 16, 2021",240.29,243.59,239.95,243.21,"3,410,681"
,"Sep 17, 2021",243.84,244.63,241.88,242.49,"4,756,852"
,"Sep 20, 2021",239.88,241.96,236.64,239.09,"4,549,932"
,"Sep 21, 2021",240.00,242.35,239.40,240.50,"2,008,293"
,"Sep 22, 2021",241.80,245.86,241.47,243.13,"3,361,958"
,"Sep 23, 2021",243.74,245.95,243.53,244.78,"2,941,662"
,"Sep 24, 2021",246.64,247.38,245.24,246.42,"2,508,923"
,"Sep 27, 2021",246.00,248.90,245.28,248.11,"2,463,273"
,"Sep 28, 2021",247.29,247.71,242.91,243.77,"3,007,728"
,"Sep 29, 2021",244.38,245.71,243.15,244.28,"1,719,144"
,"Sep 30, 2021",244.77,245.42,240.82,241.11,"3,137,256"
,"Oct 1, 2021",243.07,244.69,240.25,242.93,"2,076,087"
,"Oct 4, 2021",242.06,244.81,241.86,243.08,"2,236,513"
,"Oct 5, 2021",243.97,246.88,243.01,245.22,"2,463,265"
,"Oct 6, 2021",244.56,247.16,243.02,247.10,"2,107,922"
,"Oct 7, 2021",248.00,249.95,247.68,248.32,"2,423,878"
,"Oct 8, 2021",249.25,249.63,247.11,247.70,"1,687,649"
,"Oct 11, 2021",248.10,249.14,246.45,246.58,"1,503,978"
,"Oct 12, 2021",247.73,248.60,244.18,244.52,"2,346,972"
,"Oct 13, 2021",243.27,243.87,239.90,242.65,"3,214,784"
,"Oct 14, 2021",242.88,245.42,242.04,244.55,"2,512,501"
,"Oct 15, 2021",245.24,246.38,241.99,242.25,"2,564,768"
,"Oct 18, 2021",242.42,243.45,241.13,242.26,"2,484,874"
,"Oct 19, 2021",243.22,243.93,241.53,242.77,"2,071,598"
,"Oct 20, 2021",240.40,242.65,239.29,239.72,"3,040,188"
,"Oct 21, 2021",240.17,241.91,239.31,241.40,"2,702,367"
,"Oct 22, 2021",240.71,242.24,238.00,238.44,"3,283,657"
,"Oct 25, 2021",239.23,239.25,236.50,237.34,"3,178,536"
,"Oct 26, 2021",237.47,238.40,236.14,236.42,"3,066,386"
,"Oct 27, 2021",241.05,244.62,238.85,242.73,"5,249,422"
,"Oct 28, 2021",243.40,246.08,242.53,245.50,"3,448,483"
,"Oct 29, 2021",243.00,246.09,242.47,245.55,"4,329,465"
,"Nov 1, 2021",245.80,251.69,245.34,250.58,"4,456,549"
,"Nov 2, 2021",251.76,252.22,248.16,249.24,"2,624,333"
,"Nov 3, 2021",247.99,251.13,247.91,250.40,"2,399,239"
,"Nov 4, 2021",251.12,254.18,250.20,253.46,"2,711,311"
,"Nov 5, 2021",254.69,257.53,254.62,254.71,"3,224,285"
,"Nov 8, 2021",254.78,255.65,251.93,253.10,"2,471,271"
,"Nov 9, 2021",252.91,253.69,250.45,252.65,"2,258,953"
,"Nov 10, 2021",250.81,253.72,250.81,253.13,"1,794,531"
,"Nov 11, 2021",253.33,253.33,249.26,250.16,"1,640,596"
,"Nov 12, 2021",250.15,251.01,248.89,250.67,"1,625,338"
,"Nov 15, 2021",250.67,253.76,250.67,252.94,"1,709,216"
,"Nov 16, 2021",253.50,254.19,252.38,252.46,"2,195,461"
,"Nov 17, 2021",252.41,253.34,250.52,252.69,"1,412,025"
,"Nov 18, 2021",253.16,253.49,251.08,253.48,"1,751,189"
,"Nov 19, 2021",253.29,253.32,250.23,251.95,"2,743,402"
,"Nov 22, 2021",252.67,255.45,252.21,253.48,"2,438,758"
,"Nov 23, 2021",254.81,255.79,253.05,255.65,"2,770,596"
,"Nov 24, 2021",254.50,257.79,254.05,257.11,"2,642,849"
,"Nov 26, 2021",252.51,253.16,248.27,250.01,"2,573,259"
,"Nov 29, 2021",251.85,252.32,249.83,250.30,"2,084,612"
,"Nov 30, 2021",247.38,247.90,243.95,244.60,"3,836,063"
,"Dec 1, 2021",245.76,250.90,244.11,244.18,"3,275,507"
